Cell_Line,CH,CH,CH,CH,CH,CH,43,43,43,43,43,43,Io,Io,Io,Io,Io,Io,LN,LN,LN,LN,LN,LN
Plate_Layout,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A
Replicate,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
D07,0.008277909150319677,0.008874537476794259,0.010734172218215913,0.024216647506355684,0.01955881542627911,0.022125050560519808,0.005088975304079356,0.005235707791904774,0.0046175528870795275,0.017469045827606187,0.019781855289029083,0.016913439723513012,0.0038129825503249895,0.00443050836386597,0.005145257752348683,0.018797695711598675,0.013433736354186451,0.023699503905494954,0.09044637502054913,0.07019879285740342,0.09795657014066901,0.012755602541772649,0.015501138186865864,0.02882249649491995
D08,0.9876369449966933,1.0213140879538967,0.9374016058796496,0.01971941755603488,0.016224113249839012,0.016828197229891664,0.9407539925235234,0.8882053933085535,0.8535502152841242,0.0025178171946555004,0.01559213811958616,0.0026294329825660334,0.467486391677457,0.5322558306348893,0.5617765177634411,0.03843110383665345,0.035116269501335534,0.04231147589232282,0.18552178343136635,0.17909810582025254,0.1856339890480848,0.9696887168485343,0.9867547498201353,0.9689239792061219
D09,0.6226318765953747,0.6519747480792395,0.6620219680531483,0.4368739631942148,0.4222784889321521,0.4185303949271527,0.32086926849795644,0.3469930588811934,0.3122107899917212,0.20190037126995874,0.24847597607042365,0.24444462372780573,0.16613694434068602,0.18145609529811504,0.20664723472939103,0.5411151749726385,0.5121871571229952,0.47579287937376497,0.8204478589523396,0.7152535601078213,0.7909940485139545,0.8623414615234996,0.8247429860975678,0.7994663292259844
D10,0.025681304763351603,0.020754552654431182,0.02786792350112193,0.5360689843934267,0.6459318115764462,0.42792633160817256,0.06363617533198805,0.07564902753843297,0.08772294320563848,0.0997825537031992,0.12812390866732923,0.13361569318376293,0.04930297453859471,0.04350598334847365,0.04001962761925062,0.5902856271427858,0.621434836346947,0.6181664591088262,1.0017657323530145,0.9458279481116848,0.9410090861309016,0.16180204528531175,0.1854146556513559,0.17512530208728222
D11,0.005791298631110219,0.006492259659827393,0.010656578808220647,0.7799508196568228,0.8145840163492412,0.7952801382750962,0.030767151035074464,0.02776546809114103,0.02905087138884023,0.31328655125240534,0.3031686926206842,0.2911860847426293,0.057567283302484985,0.06657722589877237,0.06172157825606482,0.409818465107305,0.4615051418914385,0.3784943816683964,0.734326857779504,0.7251150987918279,0.7233048578278733,0.2128185375562072,0.2355407657727789,0.2435658612040009
D12,0.0015600147289702333,0.004343222824973945,0.003134559988844313,0.09841750133325981,0.09146172100278645,0.07107420692767756,0.033762974543131465,0.0333857455704158,0.025780984897898276,0.012305568432788391,0.011557436923061734,0.014207481620546879,0.005646669206594405,0.0013031418491888731,0.000879036822800572,0.14623207118224824,0.13368941340955065,0.1334209941906597,0.16387913967110798,0.12649129157664354,0.08806043754089059,0.008732278542813473,0.010889391836192867,0.010780282932153303
D13,0.046847713401691825,0.04163602702434279,0.03998939079965641,0.8791389601492563,0.8829375393516835,0.8750706035767992,0.23751167858782027,0.23873900857140304,0.25403722800170736,0.837123945362744,0.6327273121044628,0.8070051425906373,0.1781064217586015,0.20953468019658622,0.29555918198992276,0.5863920101883258,0.5906888264548605,0.6202017051949315,0.6768200502283306,0.6839843929686119,0.6572671009707741,0.35739781408615096,0.35075575935664993,0.34751410794003335
D14,0.044943182717563514,0.042996513727357695,0.049533380229073984,0.867714922685184,0.9183225936908702,0.8609009774645648,0.02839927306582417,0.027904469182961508,0.025204318869456965,0.7911342401898067,0.8123268498452049,0.7597349863869571,0.13575904472782246,0.12401507298197313,0.12902946709292554,0.67876649075153,0.6469581216757623,0.6899432206178813,0.6547120580781833,0.6238879079664307,0.6465764273917876,0.23219034804415645,0.2279389230408682,0.37444711893968186
D15,1.049565490713961,0.9983098835447423,1.0266809588721852,0.8293673676681584,0.8669288221007948,0.8075042033486526,0.9433464482375553,1.0535587754533338,1.0091951223891416,0.8424282655197609,0.8726689771136441,0.8178866508412862,1.037794149030993,1.0618211805576556,1.0458104822121244,0.7027833838743718,0.7498288343831937,0.7227610434991487,0.6690889571474977,0.6651035911441934,0.6825712715283353,1.0361712081185808,1.0814946712532838,1.0213493590078748
D16,0.9201437448362642,0.9445392848684563,0.911963482467331,0.7896312860232646,0.7489605124032621,0.7492112817696686,0.7740082875728924,0.7893547668604187,0.805131392192799,0.015211018317509888,0.014799048282269248,0.013099624883897334,0.46252481751902735,0.5245072038475356,0.5463536533696667,0.0117055143692879,0.01278477155850906,0.012361310584320162,0.4721125047901025,0.4455271056635681,0.46727916987519,0.9895508673069388,1.022073778108463,0.9743889278884865
